Date;AUD;CAD;EUR;JPY;NZD;NOK;SWK;SWF;GBP
1973-01;0,78;1;1,65;308;0,84;6,53;4,71;3,62;0,38
1973-02;0,71;0,99;1,48;270;0,75;5,97;4,46;3,13;0,4
1973-03;0,71;1;1,44;265,83;0,75;5,9;4,49;3,24;0,4
1973-04;0,71;1;1,44;265,5;0,75;5,94;4,53;3,24;0,4
1973-05;0,71;1;1,44;264,95;0,75;5,69;4,33;3,1;0,39
1973-06;0,71;1;1,36;265,3;0,75;5,38;4,09;2,96;0,39
1973-07;0,71;1;1,36;263,45;0,74;5,36;4,07;2,87;0,4
1973-08;0,71;1,01;1,36;265,3;0,75;5,59;4,22;3,03;0,41
1973-09;0,67;1,01;1,36;265,7;0,68;5,53;4,2;3,02;0,41
1973-10;0,67;1;1,36;266,83;0,68;5,55;4,18;3,1;0,41
1973-11;0,67;1;1,36;280;0,69;5,59;4,41;3,2;0,43
1973-12;0,67;1;1,36;280;0,7;5,73;4,59;3,24;0,43
1974-01;0,67;0,99;1,36;299;0,72;5,97;4,78;3,29;0,44
1974-02;0,67;0,97;1,36;287,6;0,7;5,68;4,63;3,12;0,43
1974-03;0,67;0,97;1,36;276;0,68;5,47;4,39;3;0,42
1974-04;0,67;0,96;1,36;279,75;0,68;5,33;4,25;2,92;0,41
1974-05;0,67;0,96;1,36;281,9;0,69;5,42;4,32;2,98;0,42
1974-06;0,67;0,97;1,36;284,1;0,69;5,43;4,38;3;0,42
1974-07;0,67;0,98;1,32;297,8;0,69;5,41;4,38;2,98;0,42
1974-08;0,67;0,99;1,36;302,7;0,71;5,56;4,48;3,01;0,43
1974-09;0,76;0,99;1,36;298,5;0,77;5,53;4,46;2,95;0,43
1974-10;0,76;0,98;1,32;299,85;0,77;5,51;4,38;2,87;0,43
1974-11;0,76;0,99;1,27;300,1;0,77;5,38;4,28;2,72;0,43
1974-12;0,75;0,99;1,23;300,95;0,76;5,2;4,08;2,54;0,43
1975-01;0,75;1;1,2;297,85;0,75;5,05;4,01;2,5;0,42
1975-02;0,73;1;1,17;286,6;0,74;4,9;3,9;2,4;0,41
1975-03;0,74;1;1,2;293,8;0,74;4,91;3,94;2,53;0,42
1975-04;0,75;1,02;1,22;293,3;0,75;5,02;3,97;2,55;0,42
1975-05;0,74;1,02;1,2;291,35;0,76;4,94;3,93;2,5;0,43
1975-06;0,75;1,03;1,2;296,35;0,77;4,94;3,94;2,51;0,45
1975-07;0,77;1,03;1,32;297,35;0,79;5,44;4,31;2,71;0,47
1975-08;0,78;1,03;1,32;297,9;0,94;5,52;4,36;2,68;0,47
1975-09;0,8;1,03;1,36;302,7;0,96;5,7;4,51;2,75;0,49
1975-10;0,79;1,02;1,31;301,8;0,95;5,46;4,35;2,62;0,48
1975-11;0,79;1,01;1,34;303;0,96;5,58;4,43;2,68;0,5
1975-12;0,8;1,02;1,34;305,15;0,96;5,58;4,39;2,62;0,49
1976-01;0,79;1;1,33;303,7;0,96;5,55;4,38;2,6;0,49
1976-02;0,79;0,98;1,31;302,25;0,95;5,54;4,38;2,56;0,49
1976-03;0,8;0,98;1,3;299,7;0,98;5,51;4,4;2,53;0,52
1976-04;0,81;0,98;1,3;299,4;1;5,48;4,39;2,51;0,54
1976-05;0,81;0,98;1,33;299,95;1,02;5,54;4,44;2,44;0,57
1976-06;0,81;0,97;1,32;297,4;1,01;5,56;4,45;2,47;0,56
1976-07;0,81;0,98;1,3;293,4;1;5,53;4,44;2,48;0,56
1976-08;0,8;0,98;1,29;288,75;1;5,5;4,4;2,48;0,56
1976-09;0,81;0,97;1,25;287,45;1,02;5,32;4,28;2,45;0,6
1976-10;0,82;0,97;1,23;293,7;1,06;5,28;4,22;2,44;0,62
1976-11;0,99;1,04;1,23;295,75;1,1;5,24;4,19;2,44;0,61
1976-12;0,92;1,01;1,21;292,8;1,05;5,18;4,13;2,45;0,59
1977-01;0,92;1,02;1,24;289,3;1,05;5,33;4,27;2,52;0,58
1977-02;0,91;1,05;1,22;282,7;1,05;5,28;4,23;2,55;0,59
1977-03;0,91;1,06;1,22;277,5;1,04;5,23;4,2;2,54;0,58
1977-04;0,91;1,05;1,21;277,7;1,04;5,27;4,33;2,52;0,58
1977-05;0,91;1,05;1,2;277,3;1,04;5,26;4,37;2,5;0,58
1977-06;0,9;1,06;1,2;267,7;1,03;5,31;4,4;2,46;0,58
1977-07;0,89;1,07;1,17;266;1,03;5,27;4,35;2,4;0,58
1977-08;0,9;1,07;1,19;267,3;1,03;5,46;4,85;2,4;0,57
1977-09;0,9;1,07;1,18;265,45;1,03;5,5;4,83;2,23;0,57
1977-10;0,89;1,11;1,15;250,6;1,01;5,46;4,78;2,23;0,55
1977-11;0,89;1,11;1,14;245,7;1;5,4;4,8;2,16;0,55
1977-12;0,88;1,09;1,08;240;0,98;5,14;4,67;2;0,52
1978-01;0,88;1,11;1,08;241,4;0,98;5,13;4,65;1,98;0,51
1978-02;0,88;1,11;1,04;238,7;0,98;5,32;4,61;1,87;0,52
1978-03;0,87;1,13;1,03;222,4;0,98;5,31;4,59;1,87;0,54
1978-04;0,88;1,13;1,06;222,9;0,98;5,4;4,62;1,93;0,55
1978-05;0,88;1,12;1,07;223,4;0,99;5,43;4,65;1,91;0,55
1978-06;0,87;1,12;1,06;204,7;0,97;5,4;4,58;1,86;0,54
1978-07;0,87;1,13;1,04;190,7;0,95;5,36;4,51;1,74;0,52
1978-08;0,87;1,15;1,02;190,2;0,95;5,24;4,44;1,65;0,51
1978-09;0,86;1,18;0,99;189,15;0,94;5,14;4,4;1,54;0,51
1978-10;0,84;1,17;0,89;176;0,91;4,66;4,08;1,47;0,48
1978-11;0,88;1,17;0,98;197,5;0,95;5,11;4,42;1,72;0,51
1978-12;0,87;1,19;0,93;194,6;0,94;5,02;4,3;1,62;0,49
1979-01;0,88;1,2;0,95;201,3;0,95;5,11;4,37;1,69;0,5
1979-02;0,89;1,19;0,95;202,2;0,95;5,08;4,36;1,67;0,49
1979-03;0,89;1,16;0,95;209,3;0,95;5,11;4,37;1,69;0,48
1979-04;0,91;1,14;0,97;218,5;0,96;5,18;4,4;1,72;0,49
1979-05;0,91;1,16;0,98;219,8;0,96;5,19;4,38;1,72;0,48
1979-06;0,89;1,17;0,94;217;0,99;5,1;4,28;1,66;0,46
1979-07;0,88;1,17;0,94;217,2;0,98;5,05;4,21;1,66;0,44
1979-08;0,89;1,17;0,93;220;0,99;5,03;4,21;1,66;0,44
1979-09;0,89;1,16;0,89;223,3;1;4,89;4,13;1,56;0,46
1979-10;0,91;1,18;0,92;237,7;1,03;5,01;4,25;1,66;0,48
1979-11;0,91;1,17;0,88;248,8;1,03;4,96;4,18;1,61;0,46
1979-12;0,9;1,17;0,89;239,7;1,01;4,93;4,15;1,58;0,45
1980-01;0,9;1,16;0,89;238,8;1,02;4,89;4,17;1,63;0,44
1980-02;0,91;1,14;0,91;249,8;1,03;4,91;4,21;1,69;0,44
1980-03;0,92;1,19;0,99;249,7;1,06;5,17;4,46;1,83;0,46
1980-04;0,9;1,19;0,92;239;1,03;4,94;4,22;1,67;0,44
1980-05;0,88;1,16;0,91;224,3;1,02;4,88;4,2;1,66;0,43
1980-06;0,86;1,15;0,9;217,6;1,01;4,84;4,15;1,62;0,42
1980-07;0,87;1,16;0,91;227;1,02;4,91;4,17;1,66;0,43
1980-08;0,86;1,16;0,92;219;1,02;4,84;4,17;1,65;0,42
1980-09;0,86;1,17;0,93;212,2;1,02;4,87;4,16;1,65;0,42
1980-10;0,85;1,18;0,98;211,5;1,02;4,97;4,26;1,72;0,41
1980-11;0,86;1,19;0,98;216,7;1,04;5,04;4,33;1,74;0,42
1980-12;0,85;1,19;1;203;1,04;5,18;4,37;1,76;0,42
1981-01;0,85;1,19;1,08;204,7;1,04;5,24;4,57;1,93;0,42
1981-02;0,86;1,2;1,09;208,8;1,07;5,41;4,64;1,96;0,45
1981-03;0,86;1,19;1,07;211;1,09;5,39;4,59;1,91;0,45
1981-04;0,87;1,2;1,13;215;1,11;5,47;4,76;2,02;0,47
1981-05;0,88;1,2;1,19;224,1;1,13;5,67;4,94;2,07;0,48
1981-06;0,88;1,2;1,22;225,8;1,17;5,92;5,08;2,03;0,51
1981-07;0,88;1,23;1,26;239,45;1,19;6,1;5,23;2,14;0,54
1981-08;0,88;1,2;1,24;228;1,21;6,18;5,21;2,12;0,54
1981-09;0,87;1,21;1,19;232,7;1,21;5,96;5,6;1,97;0,56
1981-10;0,87;1,2;1,15;233,8;1,21;5,92;5,56;1,85;0,54
1981-11;0,87;1,18;1,13;214,3;1,2;5,82;5,42;1,77;0,51
1981-12;0,88;1,19;1,15;219,9;1,21;5,78;5,57;1,8;0,52
1982-01;0,9;1,2;1,18;230,5;1,23;5,86;5,65;1,84;0,53
1982-02;0,92;1,23;1,22;237;1,26;5,97;5,79;1,89;0,55
1982-03;0,94;1,23;1,23;246,5;1,29;6,03;5,95;1,93;0,56
1982-04;0,95;1,22;1,19;235,1;1,31;6,08;5,81;1,96;0,56
1982-05;0,94;1,24;1,2;243,5;1,3;5,97;5,86;2;0,56
1982-06;0,97;1,29;1,26;254;1,33;6,19;6,09;2,1;0,58
1982-07;0,99;1,26;1,25;257,5;1,35;6,36;6,09;2,09;0,57
1982-08;1,02;1,24;1,28;261,7;1,37;6,68;6,17;2,12;0,58
1982-09;1,04;1,24;1,29;269,5;1,38;6,9;6,29;2,17;0,59
1982-10;1,06;1,23;1,31;277,3;1,4;7,17;7,43;2,22;0,6
1982-11;1,06;1,24;1,27;253,1;1,41;7,24;7,46;2,14;0,62
1982-12;1,03;1,23;1,22;235;1,38;7,03;7,29;1,99;0,62
1983-01;1,02;1,24;1,25;237,9;1,37;7,04;7,45;2;0,65
1983-02;1,03;1,23;1,24;235,45;1,39;7,12;7,44;2,04;0,66
1983-03;1,13;1,23;1,24;239,4;1,5;7,19;7,51;2,08;0,68
1983-04;1,15;1,23;1,26;237;1,52;7,15;7,49;2,06;0,64
1983-05;1,14;1,23;1,29;238,3;1,51;7,12;7,53;2,09;0,62
1983-06;1,14;1,23;1,3;239,7;1,52;7,27;7,64;2,1;0,65
1983-07;1,14;1,23;1,35;241,7;1,53;7,33;7,75;2,13;0,66
1983-08;1,14;1,23;1,38;246,6;1,54;7,46;7,95;2,19;0,67
1983-09;1,13;1,23;1,35;236,1;1,53;7,43;7,82;2,13;0,67
1983-10;1,09;1,23;1,34;233,65;1,51;7,32;7,82;2,14;0,67
1983-11;1,09;1,24;1,38;234;1,52;7,47;7,96;2,16;0,68
1983-12;1,11;1,24;1,39;232,2;1,54;7,72;8;2,18;0,69
1984-01;1,1;1,25;1,44;234,75;1,54;7,88;8,18;2,24;0,71
1984-02;1,07;1,25;1,33;233,5;1,52;7,7;7,79;2,17;0,67
1984-03;1,05;1,28;1,32;224,7;1,5;7,5;7,72;2,15;0,69
1984-04;1,08;1,28;1,39;225,95;1,52;7,6;8;2,24;0,72
1984-05;1,1;1,29;1,4;231,5;1,54;7,81;8,07;2,26;0,72
1984-06;1,13;1,32;1,42;237,5;1,56;7,82;8,18;2,33;0,74
1984-07;1,2;1,31;1,48;245,5;1,8;8,22;8,4;2,46;0,77
1984-08;1,18;1,3;1,48;241,3;2;8,3;8,32;2,41;0,76
1984-09;1,2;1,32;1,55;245,5;2,04;8,62;8,58;2,5;0,8
1984-10;1,2;1,31;1,55;245,25;2,06;8,87;8,65;2,49;0,82
1984-11;1,16;1,32;1,58;246,3;2,03;8,72;8,8;2,55;0,83
1984-12;1,19;1,32;1,61;251,1;2,07;8,98;8,99;2,59;0,86
1985-01;1,23;1,33;1,62;254,65;2,13;9,18;9,04;2,68;0,89
1985-02;1,36;1,38;1,7;259,5;2,21;9,47;9,39;2,83;0,92
1985-03;1,43;1,37;1,58;252,5;2,21;9,46;8,89;2,62;0,8
1985-04;1,52;1,37;1,58;252,25;2,2;8,93;8,96;2,59;0,8
1985-05;1,48;1,37;1,58;251,85;2,21;8,94;8,92;2,61;0,79
1985-06;1,5;1,36;1,56;248,95;2,18;8,83;8,8;2,56;0,77
1985-07;1,43;1,35;1,43;236,65;2,01;8,43;8,24;2,28;0,7
1985-08;1,41;1,37;1,42;237,25;1,87;8,25;8,29;2,28;0,71
1985-09;1,45;1,37;1,37;217;1,88;8,33;8,06;2,18;0,71
1985-10;1,42;1,37;1,34;211,5;1,76;7,91;7,86;2,15;0,69
1985-11;1,48;1,38;1,28;202;1,75;7,81;7,64;2,08;0,67
1985-12;1,47;1,4;1,26;200,5;1,9;7,65;7,62;2,08;0,69
1986-01;1,4;1,42;1,22;191,8;1,87;7,45;7,51;2,03;0,71
1986-02;1,43;1,42;1,13;179,7;1,93;6,98;7,16;1,87;0,68
1986-03;1,4;1,4;1,18;179,6;1,88;7,31;7,32;1,94;0,67
1986-04;1,35;1,37;1,12;168,3;1,71;6,95;7,03;1,83;0,65
1986-05;1,4;1,38;1,18;171,8;1,75;7,8;7,35;1,92;0,67
1986-06;1,48;1,39;1,12;165;1,85;7,52;7,12;1,8;0,65
1986-07;1,67;1,38;1,07;154,3;1,93;7,41;6,97;1,68;0,67
1986-08;1,64;1,39;1,05;156,1;2,03;7,33;6,92;1,66;0,68
1986-09;1,59;1,39;1,03;153,6;2,04;7,36;6,9;1,64;0,69
1986-10;1,56;1,39;1,06;161,5;1,97;7,53;7,04;1,72;0,71
1986-11;1,54;1,38;1,01;162,4;1,93;7,52;6,88;1,65;0,7
1986-12;1,5;1,38;0,99;159,1;1,91;7,4;6,82;1,62;0,68
1987-01;1,51;1,34;0,92;152,5;1,84;6,98;6,44;1,52;0,65
1987-02;1,48;1,33;0,93;153,05;1,79;7;6,47;1,54;0,65
1987-03;1,42;1,31;0,92;145,8;1,77;6,82;6,33;1,51;0,62
1987-04;1,42;1,34;0,91;139,5;1,72;6,7;6,25;1,46;0,6
1987-05;1,4;1,34;0,93;144;1,73;6,76;6,35;1,51;0,62
1987-06;1,39;1,33;0,94;147;1,69;6,72;6,39;1,52;0,62
1987-07;1,43;1,33;0,95;149,3;1,77;6,78;6,46;1,54;0,63
1987-08;1,4;1,32;0,93;142,4;1,65;6,67;6,38;1,5;0,62
1987-09;1,39;1,31;0,94;146,35;1,55;6,71;6,44;1,53;0,61
1987-10;1,48;1,32;0,89;138,6;1,72;6,58;6,23;1,44;0,58
1987-11;1,42;1,31;0,84;132,55;1,56;6,38;5,96;1,34;0,55
1987-12;1,38;1,3;0,81;123,5;1,52;6,23;5,85;1,28;0,53
1988-01;1,4;1,28;0,86;127,2;1,49;6,37;6,02;1,36;0,56
1988-02;1,39;1,26;0,86;128;1,5;6,36;5,98;1,39;0,56
1988-03;1,35;1,23;0,85;125,4;1,51;6,29;5,88;1,37;0,53
1988-04;1,32;1,23;0,85;124,85;1,49;6,15;5,86;1,39;0,53
1988-05;1,24;1,23;0,88;125,25;1,44;6,25;5,98;1,44;0,54
1988-06;1,26;1,21;0,93;132,4;1,5;6,62;6,25;1,51;0,59
1988-07;1,24;1,21;0,96;132,55;1,5;6,8;6,41;1,56;0,59
1988-08;1,24;1,24;0,96;135;1,64;6,92;6,48;1,58;0,59
1988-09;1,28;1,22;0,96;134,55;1,63;6,92;6,43;1,59;0,59
1988-10;1,21;1,22;0,9;125,75;1,59;6,6;6,15;1,49;0,56
1988-11;1,14;1,19;0,89;121,75;1,53;6,48;6,03;1,45;0,54
1988-12;1,17;1,19;0,91;125,85;1,59;6,57;6,16;1,5;0,55
1989-01;1,12;1,18;0,95;129,15;1,64;6,73;6,32;1,59;0,57
1989-02;1,25;1,2;0,94;127;1,61;6,71;6,29;1,56;0,57
1989-03;1,22;1,19;0,97;132,05;1,62;6,87;6,42;1,66;0,59
1989-04;1,26;1,19;0,96;132,45;1,62;6,81;6,37;1,67;0,59
1989-05;1,34;1,21;1,02;142,7;1,7;7,18;6,7;1,71;0,64
1989-06;1,32;1,2;1;144,1;1,75;7,14;6,65;1,67;0,65
1989-07;1,33;1,18;0,95;138,35;1,72;6,86;6,39;1,61;0,6
1989-08;1,31;1,18;1;144,3;1,7;7,13;6,61;1,69;0,64
1989-09;1,29;1,18;0,96;139,3;1,7;6,89;6,41;1,62;0,62
1989-10;1,28;1,17;0,94;142,3;1,7;6,9;6,41;1,61;0,63
1989-11;1,28;1,16;0,91;142,95;1,7;6,83;6,4;1,6;0,64
