Date;FXVOL
1993-01;10,96
1993-02;11,52
1993-03;12,09
1993-04;11,66
1993-05;11,16
1993-06;11,73
1993-07;11,59
1993-08;11,83
1993-09;12,34
1993-10;11,01
1993-11;11,14
1993-12;12,11
1994-01;10,1
1994-02;11,13
1994-03;10,42
1994-04;10,39
1994-05;9,32
1994-06;10,87
1994-07;10,79
1994-08;10,48
1994-09;10,61
1994-10;9,29
1994-11;9,41
1994-12;9,34
1995-01;9,59
1995-02;9,34
1995-03;13,66
1995-04;13,23
1995-05;12,76
1995-06;11,55
1995-07;11,23
1995-08;11,46
1995-09;12,8
1995-10;12,33
1995-11;12,14
1995-12;11,79
1996-01;10,6
1996-02;10,31
1996-03;9,64
1996-04;9,46
1996-05;8,43
1996-06;7,89
1996-07;8,54
1996-08;7,22
1996-09;7,05
1996-10;7,99
1996-11;7,15
1996-12;8,68
1997-01;10,01
1997-02;9,46
1997-03;9
1997-04;8,03
1997-05;8,97
1997-06;8,65
1997-07;9,57
1997-08;10,48
1997-09;9,98
1997-10;11,92
1997-11;11,55
1997-12;11,75
1998-01;12,31
1998-02;11,41
1998-03;10,92
1998-04;10,45
1998-05;10,81
1998-06;11,88
1998-07;11,44
1998-08;13,42
1998-09;14,27
1998-10;13,76
1998-11;12,51
1998-12;13,7
1999-01;12,61
1999-02;12,88
1999-03;11,93
1999-04;10,01
1999-05;10,3
1999-06;9,84
1999-07;11
1999-08;10,97
1999-09;12,01
1999-10;11
1999-11;11,57
1999-12;11,28
2000-01;11,1
2000-02;11,62
2000-03;12,12
2000-04;11,67
2000-05;12,11
2000-06;10,92
2000-07;10,47
2000-08;11,09
2000-09;10,91
2000-10;11,94
2000-11;11,77
2000-12;11,89
2001-01;11,94
2001-02;11,56
2001-03;12,34
2001-04;11,61
2001-05;10,83
2001-06;10,22
2001-07;10,62
2001-08;10,76
2001-09;11,21
2001-10;10,31
2001-11;10,38
2001-12;10,84
2002-01;9,59
2002-02;9,23
2002-03;8,94
2002-04;8,74
2002-05;9,39
2002-06;11,51
2002-07;10,91
2002-08;10,65
2002-09;10,8
2002-10;9,59
2002-11;9,05
2002-12;10,32
2003-01;10,06
2003-02;9,81
2003-03;10,25
2003-04;9,71
2003-05;9,94
2003-06;9,41
2003-07;9,49
2003-08;9,53
2003-09;11
2003-10;9,91
2003-11;10,02
2003-12;9,99
2004-01;10,47
2004-02;10,01
2004-03;10,83
2004-04;10,72
2004-05;10,97
2004-06;10,25
2004-07;9,73
2004-08;9,76
2004-09;9,03
2004-10;9,67
2004-11;9,99
2004-12;10,25
2005-01;9,65
2005-02;9,21
2005-03;9,2
2005-04;8,85
2005-05;8,73
2005-06;8,6
2005-07;8,46
2005-08;8,67
2005-09;8,47
2005-10;8,38
2005-11;8,48
2005-12;8,71
2006-01;8,66
2006-02;8,29
2006-03;8,42
2006-04;8,56
2006-05;9,85
2006-06;8,93
2006-07;8,5
2006-08;8,25
2006-09;7,2
2006-10;6,61
2006-11;7,4
2006-12;6,84
2007-01;6,74
2007-02;6,77
2007-03;6,91
2007-04;6,53
2007-05;6,1
2007-06;6,2
2007-07;7,17
2007-08;8,78
2007-09;7,84
2007-10;8,38
2007-11;9,73
2007-12;9,66
2008-01;10,5
2008-02;10,59
2008-03;12,16
2008-04;10,65
2008-05;9,92
2008-06;10,27
2008-07;9,47
2008-08;10,37
2008-09;14,72
2008-10;24,7
2008-11;21,39
2008-12;21,76
2009-01;20,69
2009-02;18,41
2009-03;17,8
2009-04;14,81
2009-05;15,66
2009-06;14,24
2009-07;13,02
2009-08;13,05
2009-09;12,78
2009-10;13,33
2009-11;13,95
2009-12;13,49
2010-01;12,41
2010-02;12,06
2010-03;11,31
2010-04;11,18
2010-05;14,4
2010-06;13,88
2010-07;11,36
2010-08;12,43
2010-09;11,96
2010-10;12,94
2010-11;13,15
2010-12;12,56
2011-01;11,36
2011-02;10,48
2011-03;10,52
2011-04;10,81
2011-05;11,05
2011-06;10,38
2011-07;11,36
2011-08;11,95
2011-09;14,67
2011-10;12,6
2011-11;13,61
2011-12;12,56
2012-01;10,63
2012-02;10,28
2012-03;9,99
2012-04;9,09
2012-05;11,63
2012-06;9,69
2012-07;9,52
2012-08;9,03
2012-09;7,91
2012-10;7,53
2012-11;7,52
2012-12;8,07
2013-01;8,62
2013-02;9,16
2013-03;8,93
2013-04;8,5
2013-05;10,15
2013-06;11,01
2013-07;9,98
2013-08;10,4
2013-09;9,06
2013-10;8,01
2013-11;8,3
2013-12;8,67
2014-01;8,79
2014-02;7,74
2014-03;7,65
2014-04;6,59
2014-05;6,07
2014-06;5,52
2014-07;6,21
2014-08;6,06
2014-09;7,86
2014-10;7,82
2014-11;8,54
2014-12;10,01
2015-01;11,2
2015-02;9,29
2015-03;10,91
2015-04;10,03
2015-05;9,93
2015-06;9,89
2015-07;9,32
2015-08;10,65
2015-09;10,75
2015-10;9,71
2015-11;10,1
2015-12;9,73
2016-01;10,54
2016-02;11,55
2016-03;11
2016-04;10,83
2016-05;10,3
2016-06;10,88
2016-07;9,5
2016-08;10,41
2016-09;10,09
2016-10;9,65
2016-11;10,76
2016-12;11,26
