Date;AUD;CAD;EUR;JPY;NZD;NOK;SWK;SWF;GBP
1986-01;-5,46;-1,84;0,72;-2,77;-2,35;-1,00;-2,23;-0,84;-2,81
1986-02;-4,44;-3,60;1,39;-2,59;-4,48;-0,56;-0,86;-0,31;-2,72
1986-03;-4,41;-2,13;0,94;-1,11;-4,71;-0,26;-0,04;-0,17;-2,53
1986-04;-4,84;-0,41;0,69;-0,56;-3,72;-1,33;0,38;-0,29;-2,30
1986-05;-2,77;-0,15;0,92;-0,66;-1,14;-2,13;0,26;-1,00;-1,56
1986-06;-3,47;-0,15;0,93;-0,72;-1,70;-1,74;0,39;-1,53;-1,44
1986-07;-1,94;-0,32;0,73;-0,81;-1,20;-2,26;0,75;-1,11;-1,17
1986-08;-5,68;-0,61;0,17;-1,62;-1,66;-2,21;0,47;-1,31;-1,70
1986-09;-5,31;-0,47;0,18;-1,54;-1,24;-2,54;0,93;-1,21;-1,67
1986-10;-4,14;-0,68;0,16;-1,07;-3,24;-3,08;0,99;-0,41;-1,57
1986-11;-3,28;-0,27;0,98;-0,83;-5,15;-2,64;1,48;-0,73;-0,95
1986-12;-1,86;0,06;0,69;-0,17;-8,56;-3,02;1,50;-0,25;-0,63
1987-01;-4,13;-0,30;1,10;-0,51;-9,28;-2,46;-0,60;-0,39;-1,73
1987-02;-3,36;0,43;1,26;-0,61;-9,69;-2,31;-1,06;-0,97;-2,00
1987-03;-3,60;0,66;1,33;-0,01;-12,21;-1,61;-0,09;-0,07;-1,62
1987-04;-2,74;-0,08;0,66;-0,47;-13,51;-2,57;0,70;-0,42;-1,63
1987-05;-2,09;0,08;0,48;-0,62;-6,06;-2,61;1,02;-1,54;-1,56
1987-06;-1,79;-0,36;0,88;-0,48;-5,20;-2,29;1,89;-1,07;-1,60
1987-07;-1,33;-1,18;0,73;-0,52;-4,67;-2,72;1,22;-1,28;-1,29
1987-08;-0,78;-0,49;0,87;-0,90;-4,00;-2,43;1,26;-1,39;-1,38
1987-09;-0,45;-0,20;0,41;-1,26;-4,62;-2,67;1,20;-0,97;-1,59
1987-10;-1,68;-0,06;0,88;-1,80;-7,51;-4,61;0,20;-1,08;-1,51
1987-11;0,75;0,65;1,79;-0,62;-2,53;-3,26;1,51;-1,06;-0,44
1987-12;-0,04;-0,44;1,26;-1,38;-5,00;-3,60;0,84;-0,54;0,64
1988-01;-0,11;-0,79;1,39;-1,25;-4,58;-2,47;0,41;0,96;-0,71
1988-02;0,20;-0,70;1,47;-1,10;-5,02;-1,88;0,33;1,03;-0,88
1988-03;-1,00;-0,70;1,25;-0,90;-5,08;-2,27;0,12;0,79;-0,92
1988-04;-1,58;-0,65;1,27;-0,67;-7,16;-2,48;-1,04;0,05;-0,58
1988-05;-1,92;-0,42;1,70;-0,85;-4,78;-1,59;-0,18;-0,29;0,52
1988-06;-2,31;-0,54;1,12;-0,56;-4,10;-1,05;-0,42;-0,47;-1,02
1988-07;-1,97;-0,34;0,64;-0,64;-3,84;-1,12;-0,13;-0,19;-1,61
1988-08;-2,52;-0,49;0,92;-1,21;-2,83;-1,08;0,23;-0,14;-3,10
1988-09;-2,40;-0,82;1,00;-0,66;-2,42;-0,29;0,34;0,31;-2,51
