Date;AUD 1M LIBOR;CAD 1M LIBOR;Mark/EUR 1M LIBOR;JPY 1M LIBOR;NZD 1M LIBOR;NOK 1M LIBOR;SWK 1M LIBOR;SWF 1M LIBOR;GBP 1M LIBOR;US 1M LIBOR;;
1986-01;18,43;10,75;4,65;6,44;19,20;13,36;12,09;4,13;12,81;8,06;;
1986-02;17,38;12,80;4,25;6,63;22,20;13,28;11,09;3,81;12,69;7,94;;
1986-03;16,73;11,25;4,88;5,63;22,30;13,35;10,75;4,06;11,94;7,50;;
1986-04;16,73;8,90;4,65;5,00;21,00;14,02;10,25;4,19;10,88;6,94;;
1986-05;14,83;8,50;4,60;4,88;16,20;14,57;10,15;4,81;10,13;7,13;;
1986-06;15,65;8,50;4,50;4,75;16,00;14,24;9,83;5,19;10,13;7,03;;
1986-07;15,40;8,45;4,63;4,88;16,40;14,87;9,50;4,69;10,05;6,56;;
1986-08;18,55;8,20;4,50;5,19;16,50;14,33;9,29;4,19;10,13;5,94;;
1986-09;17,83;8,15;4,50;5,02;15,55;14,42;8,74;4,06;10,63;6,13;;
1986-10;16,25;8,35;4,65;4,38;17,00;14,71;8,51;3,00;11,00;5,94;;
1986-11;16,00;8,30;4,55;4,75;19,85;15,02;8,64;3,94;11,16;6,38;;
1986-12;14,90;8,25;5,15;4,61;24,40;16,29;9,13;3,94;11,25;6,75;;
1987-01;17,05;7,75;4,13;4,44;24,40;15,13;11,40;3,44;11,13;6,20;;
1987-02;16,58;7,25;4,06;4,63;25,35;14,94;11,75;4,19;11,19;6,47;;
1987-03;16,38;6,95;4,00;4,14;28,30;14,34;10,65;3,44;10,06;6,58;;
1987-04;14,58;7,70;3,94;4,06;28,30;14,74;9,25;3,25;9,56;6,81;;
1987-05;13,73;8,15;3,86;4,06;20,40;14,68;9,40;4,25;9,00;7,25;;
1987-06;13,25;8,35;3,78;3,94;19,35;14,41;8,55;3,75;9,19;7,06;;
1987-07;12,58;9,05;3,88;3,63;18,55;14,45;8,85;3,56;8,88;6,75;;
1987-08;12,10;8,95;4,00;4,06;18,01;14,07;9,08;3,81;9,88;7,13;;
1987-09;11,28;9,25;4,63;4,39;18,62;13,77;9,15;3,63;10,13;7,75;;
1987-10;12,93;8,10;3,63;4,20;20,76;15,16;9,41;2,81;9,25;7,13;;
1987-11;11,88;8,55;3,94;4,75;17,03;15,86;9,41;4,25;9,00;8,19;;
1987-12;11,03;8,70;3,38;4,31;17,54;15,07;9,01;2,63;7,13;7,13;;
1988-01;10,65;8,65;3,25;4,19;16,85;13,99;9,39;1,13;8,56;6,81;;
1988-02;10,70;8,50;3,44;4,50;17,28;13,81;9,56;1,50;9,00;6,81;;
1988-03;11,33;8,55;3,38;4,13;16,56;13,95;9,64;1,56;8,56;6,80;;
1988-04;11,48;8,75;3,44;3,88;18,51;14,06;10,83;2,13;8,19;7,13;;
1988-05;12,75;8,90;3,44;4,19;16,09;13,18;10,24;2,81;7,42;7,63;;
1988-06;13,15;9,15;4,38;4,25;15,80;12,75;10,60;3,38;9,42;7,81;;
1988-07;12,98;9,30;5,13;4,50;15,59;12,93;10,55;3,44;10,52;8,13;;
1988-08;13,43;9,85;5,00;5,13;14,68;13,04;10,45;3,44;12,13;8,38;;
1988-09;13,68;10,30;4,94;4,80;14,51;12,52;10,46;3,12;11,94;8,31;;
1988-10;13,88;10,30;4,83;4,38;14,24;12,32;10,71;3,56;12,00;8,38;;
1988-11;14,90;10,60;5,22;4,63;14,64;12,25;10,84;5,19;13,03;9,56;;
1988-12;14,75;10,70;5,34;4,56;13,98;12,22;10,68;4,69;13,03;9,19;;
1989-01;15,30;11,00;5,88;4,31;12,93;11,27;10,70;5,69;13,13;9,25;;
1989-02;16,38;11,30;6,88;4,78;13,90;11,86;11,53;6,00;13,25;10,06;;
1989-03;16,98;11,90;6,13;4,44;13,41;11,32;11,55;5,69;12,94;10,06;;
1989-04;16,86;12,45;6,31;4,56;13,88;11,15;11,65;6,63;12,75;9,88;;
1989-05;17,94;12,52;7,00;5,19;13,43;10,99;11,70;8,31;13,75;9,69;;
1989-06;17,88;12,30;7,00;5,38;13,46;10,57;11,90;7,56;14,00;9,44;;
1989-07;18,00;12,35;6,94;5,25;13,33;11,51;12,04;7,13;13,94;8,69;;
1989-08;17,63;12,33;7,13;5,63;13,55;11,09;11,95;7,50;14,00;9,00;;
1989-09;17,94;12,28;7,69;5,59;13,93;11,35;12,00;7,75;14,78;9,13;;
1989-10;17,89;12,32;8,13;6,31;13,75;11,43;12,05;7,88;15,25;8,75;;
1989-11;17,86;12,34;8,19;6,75;14,26;12,30;12,15;7,81;15,19;8,81;;
1989-12;17,38;12,40;8,36;6,69;13,87;12,24;12,54;9,38;15,13;8,50;;
1990-01;16,75;12,75;8,00;6,75;13,87;11,68;12,76;9,63;15,06;8,31;;
1990-02;15,97;13,53;8,16;7,25;13,82;11,43;15,19;9,19;15,06;8,38;;
1990-03;15,25;13,45;7,88;7,31;13,60;12,24;14,65;8,94;15,00;8,38;;
1990-04;14,75;13,43;8,06;7,31;13,61;12,20;13,46;9,38;15,13;8,50;;
1990-05;14,64;13,73;8,00;7,31;13,86;11,29;12,64;8,81;15,13;8,31;;
1990-06;14,88;13,38;8,13;7,56;13,80;11,12;12,34;9,06;15,00;8,31;;
1990-07;14,84;13,13;8,19;7,63;13,81;11,23;12,40;8,97;15,06;8,00;;
1990-08;13,86;12,63;8,27;8,25;14,64;10,42;12,75;8,38;15,00;8,06;;
1990-09;13,63;12,22;8,38;8,25;14,43;11,33;12,79;7,94;15,00;8,27;;
1990-10;12,81;12,19;8,38;8,00;14,28;11,04;16,45;8,13;14,00;7,94;;
1990-11;12,38;12,05;9,31;8,56;13,31;11,56;15,94;8,98;14,06;8,63;;
1990-12;11,83;11,22;9,06;8,19;12,07;11,41;14,50;8,75;14,38;7,63;;
1991-01;11,88;11,00;8,94;8,11;12,12;11,18;13,46;8,13;14,13;6,94;;
1991-02;11,63;9,69;9,13;8,63;12,14;11,22;12,35;8,31;13,31;7,00;;
1991-03;11,66;9,69;9,13;8,13;11,88;10,73;12,43;8,75;12,88;6,31;;
1991-04;11,31;9,13;9,00;8,23;10,48;10,15;12,45;8,63;12,00;6,06;;
1991-05;10,38;8,78;8,94;7,91;10,10;10,00;11,35;8,00;11,56;5,94;;
1991-06;10,36;8,56;9,00;8,00;10,11;11,06;10,63;7,94;11,58;6,06;;
1991-07;10,13;8,63;9,06;7,44;9,69;10,33;10,59;7,83;11,19;5,94;;
1991-08;10,34;8,45;9,15;7,63;9,31;10,28;10,50;8,14;11,06;5,69;;
1991-09;9,36;8,38;9,19;6,88;7,72;10,87;10,40;8,19;10,75;5,44;;
1991-10;8,50;7,94;9,25;6,38;8,24;10,46;10,90;8,05;10,56;5,13;;
1991-11;8,36;7,38;9,50;6,38;8,24;10,18;12,10;8,19;10,75;5,19;;
1991-12;7,66;6,97;9,63;5,75;7,40;10,70;14,00;8,13;10,94;4,31;;
1992-01;7,63;7,11;9,66;5,44;7,37;10,93;12,48;7,50;10,79;4,19;;
1992-02;7,50;7,13;9,65;5,63;7,40;10,39;12,10;7,75;10,62;4,25;;
1992-03;7,45;7,02;9,75;4,95;7,10;10,17;11,51;9,06;10,56;4,25;;
1992-04;6,75;6,59;9,84;4,81;6,83;10,47;12,10;9,00;10,75;3,94;;
1992-05;6,44;6,00;9,75;4,81;6,88;10,60;11,70;9,63;10,13;4,00;;
1992-06;6,38;5,50;9,79;4,75;6,63;10,26;11,73;9,25;10,19;3,94;;
1992-07;5,63;5,38;9,81;4,13;6,21;10,39;12,36;8,59;10,25;3,38;;
