Date;AUD;CAD;EUR;JPY;NZD;NOK;SWK;SWF;GBP;
1986-01;-0,09;-0,13;0,60;0,11;0,62;0,26;0,19;0,46;0,14;
1986-02;0,01;-0,19;0,66;0,22;0,25;0,16;0,15;0,48;0,16;
1986-03;0,06;-0,17;0,70;0,26;0,33;0,22;0,35;0,56;0,31;
1986-04;0,10;-0,16;0,62;0,34;0,15;0,09;0,38;0,46;0,22;
1986-05;0,16;-0,15;0,69;0,39;-0,06;0,02;0,45;0,48;0,22;
1986-06;0,15;-0,17;0,40;0,38;-0,05;-0,05;0,52;0,38;0,09;
1986-07;0,01;-0,17;0,37;0,42;-0,06;0,09;0,58;0,36;0,21;
1986-08;-0,21;-0,19;0,38;0,57;-0,01;-0,10;0,58;0,29;0,07;
1986-09;-0,20;-0,23;0,42;0,60;0,14;-0,05;0,51;0,28;0,01;
1986-10;-0,15;-0,12;0,28;0,54;0,06;-0,09;0,54;0,26;0,00;
1986-11;-0,04;-0,14;0,11;0,37;-0,26;-0,23;0,48;0,14;-0,08;
1986-12;0,07;-0,14;0,25;0,48;-0,30;-0,24;0,33;0,15;-0,11;
1987-01;0,20;-0,05;0,16;0,56;-0,41;-0,18;0,36;0,15;0,07;
1987-02;-0,01;0,03;-0,07;0,56;-0,20;-0,18;0,18;0,08;0,11;
1987-03;0,19;0,07;-0,14;0,51;-0,50;-0,10;0,20;0,00;0,13;
1987-04;0,19;0,10;-0,11;0,44;-0,22;0,05;0,14;0,02;0,06;
1987-05;0,15;0,06;-0,22;0,57;-0,20;0,13;0,15;-0,03;0,13;
1987-06;0,22;0,09;-0,04;0,60;-0,12;0,19;0,10;0,01;0,28;
1987-07;0,36;0,10;-0,05;0,39;-0,22;0,12;0,03;-0,01;0,19;
1987-08;0,49;0,13;-0,12;0,13;-0,28;0,26;-0,07;-0,04;0,20;
1987-09;0,57;0,13;-0,19;0,19;-0,46;0,24;0,05;-0,06;0,19;
1987-10;0,40;0,03;-0,27;0,04;-0,57;0,18;-0,02;-0,11;0,22;
1987-11;0,08;0,08;-0,17;0,44;-0,34;0,19;0,03;0,00;0,24;
1987-12;0,17;0,14;-0,25;0,47;-0,33;0,06;0,05;-0,05;0,29;
1988-01;0,06;0,10;-0,33;0,35;-0,30;0,03;0,00;-0,12;0,27;
1988-02;0,08;0,03;-0,18;0,33;-0,23;0,03;0,24;-0,11;0,22;
1988-03;-0,03;0,05;-0,03;0,37;0,03;0,04;0,16;0,00;0,11;
1988-04;0,07;0,07;-0,05;0,40;-0,28;0,13;0,24;0,00;0,18;
1988-05;0,08;0,09;-0,04;0,24;-0,31;0,05;0,15;-0,05;0,09;
1988-06;0,18;0,06;0,01;0,19;-0,45;0,03;0,24;-0,03;0,00;
1988-07;0,14;0,11;0,05;0,24;-0,36;0,02;0,20;-0,05;-0,03;
1988-08;0,13;0,06;0,06;0,39;-0,40;-0,07;0,21;-0,10;0,02;
1988-09;0,05;0,07;0,05;0,24;-0,12;-0,19;0,15;-0,11;-0,01;
1988-10;-0,01;0,07;0,12;0,32;-0,12;-0,20;0,15;-0,11;-0,02;
1988-11;0,29;0,05;0,10;0,15;-0,16;-0,11;0,15;-0,10;0,03;
1988-12;0,18;0,03;0,11;0,16;-0,17;0,10;0,25;-0,07;0,01;
1989-01;0,17;0,02;0,18;0,19;-0,17;0,23;0,23;-0,06;-0,09;
1989-02;0,29;0,09;0,19;0,10;-0,12;0,30;0,19;-0,08;-0,01;
1989-03;0,18;0,05;0,13;0,11;-0,25;0,34;0,23;-0,05;0,04;
1989-04;-0,01;-0,03;0,12;-0,04;-0,27;0,26;0,16;-0,08;-0,06;
1989-05;-0,10;-0,07;0,09;-0,10;-0,26;0,27;0,10;-0,09;-0,10;
1989-06;-0,30;-0,05;0,06;-0,14;-0,13;0,21;0,03;-0,13;-0,18;
1989-07;-0,22;-0,06;0,06;-0,07;-0,12;0,24;0,16;0,02;-0,08;
1989-08;-0,26;-0,05;0,01;-0,11;-0,06;0,22;0,18;0,08;-0,06;
1989-09;-0,22;-0,05;0,00;-0,16;-0,22;0,23;0,15;0,02;-0,06;
1989-10;-0,14;-0,03;-0,02;-0,09;-0,25;0,25;0,12;0,03;-0,07;
1989-11;-0,20;0,00;-0,06;-0,15;-0,33;0,15;0,06;-0,05;-0,18;
1989-12;-0,23;-0,05;-0,05;-0,24;-0,38;0,10;-0,07;-0,06;-0,19;
1990-01;-0,18;-0,04;-0,02;-0,23;-0,46;0,11;0,06;-0,02;-0,08;
1990-02;-0,13;-0,08;0,08;-0,14;-0,47;0,28;0,12;0,15;-0,02;
1990-03;-0,11;-0,09;0,02;-0,34;-0,37;0,22;-0,03;0,06;-0,10;
1990-04;-0,15;-0,09;0,03;-0,59;-0,36;0,13;-0,10;0,03;-0,13;
1990-05;-0,15;-0,13;0,06;-0,41;-0,29;0,10;0,01;0,08;-0,13;
1990-06;-0,09;-0,12;0,03;-0,27;-0,30;0,20;0,10;0,24;0,05;
1990-07;-0,05;-0,14;0,00;-0,29;-0,36;0,17;0,10;0,12;0,07;
1990-08;-3,43882E-05;-0,11;0,03;-0,34;-0,41;0,33;0,11;0,11;0,08;
1990-09;0,03;-0,05;-0,04;-0,25;-0,54;0,38;0,10;0,12;0,15;
1990-10;-0,04;-0,07;-0,12;-0,48;-0,43;0,30;-0,03;0,07;0,12;
1990-11;-0,10;-0,10;-0,04;-0,26;-0,24;0,34;-0,02;0,12;0,24;
1990-12;-0,09;-0,12;-0,11;-0,42;-0,13;0,23;-0,04;0,02;0,22;
1991-01;-0,18;-0,11;-0,21;-0,40;-0,12;0,05;-0,20;-0,02;0,12;
1991-02;-0,24;-0,12;-0,31;-0,42;-0,14;-0,21;-0,15;-0,06;0,03;
1991-03;-0,16;-0,13;-0,23;-0,26;-0,12;-0,27;-0,10;-0,08;0,09;
1991-04;-0,07;-0,12;-0,23;-0,01;-0,10;-0,30;-0,07;-0,05;0,09;
1991-05;0,01;-0,07;-0,25;-0,10;-0,17;-0,36;-0,21;-0,08;0,10;
