Date;AUD;CAD;EUR;JPY;NZD;NOK;SWK;SWF;GBP
1986-01;10,37;2,69;-3,41;0,38;11,14;5,30;4,03;-3,93;4,75
1986-02;9,44;4,86;-3,69;0,48;14,26;5,34;3,15;-4,13;4,75
1986-03;9,23;3,75;-2,62;0,58;14,80;5,85;3,25;-3,44;4,44
1986-04;9,79;1,96;-2,29;0,60;14,06;7,08;3,31;-2,75;3,94
1986-05;7,71;1,38;-2,53;0,61;9,08;7,44;3,03;-2,32;3,00
1986-06;8,62;1,47;-2,53;0,66;8,97;7,21;2,80;-1,84;3,09
1986-07;8,84;1,89;-1,93;0,62;9,84;8,31;2,94;-1,87;3,48
1986-08;12,61;2,26;-1,44;0,66;10,56;8,39;3,35;-1,75;4,19
1986-09;11,71;2,03;-1,63;0,68;9,43;8,30;2,62;-2,07;4,50
1986-10;10,31;2,41;-1,29;0,66;11,06;8,77;2,57;-2,94;5,06
1986-11;9,63;1,93;-1,83;0,65;13,48;8,64;2,27;-2,44;4,78
1986-12;8,15;1,50;-1,60;0,59;17,65;9,54;2,38;-2,81;4,50
1987-01;10,85;1,55;-2,08;0,64;18,20;8,93;5,20;-2,76;4,92
1987-02;10,11;0,78;-2,41;0,53;18,88;8,47;5,28;-2,28;4,72
1987-03;9,80;0,37;-2,58;0,54;21,72;7,76;4,07;-3,14;3,48
1987-04;7,77;0,89;-2,88;0,50;21,49;7,93;2,44;-3,56;2,75
1987-05;6,48;0,90;-3,39;0,47;13,15;7,43;2,15;-3,00;1,75
1987-06;6,19;1,29;-3,28;0,47;12,29;7,35;1,49;-3,31;2,13
1987-07;5,83;2,30;-2,88;0,43;11,80;7,70;2,10;-3,19;2,13
1987-08;4,98;1,83;-3,13;0,37;10,89;6,94;1,96;-3,32;2,75
1987-09;3,53;1,50;-3,13;0,38;10,87;6,02;1,40;-4,12;2,38
1987-10;5,81;0,98;-3,50;0,26;13,64;8,04;2,29;-4,32;2,13
1987-11;3,69;0,36;-4,25;0,24;8,84;7,67;1,22;-3,94;0,81
1987-12;3,91;1,58;-3,75;0,21;10,42;7,95;1,89;-4,50;0,00
1988-01;3,84;1,84;-3,56;0,25;10,04;7,18;2,58;-5,68;1,75
1988-02;3,89;1,69;-3,38;0,24;10,47;7,00;2,75;-5,31;2,19
1988-03;4,53;1,75;-3,42;0,24;9,76;7,15;2,84;-5,24;1,77
1988-04;4,36;1,63;-3,69;0,20;11,39;6,94;3,71;-5,00;1,06
1988-05;5,13;1,28;-4,19;0,24;8,47;5,56;2,62;-4,82;-0,20
1988-06;5,34;1,34;-3,44;0,24;7,99;4,94;2,79;-4,43;1,61
1988-07;4,86;1,18;-3,00;0,26;7,47;4,81;2,43;-4,69;2,39
1988-08;5,06;1,48;-3,38;0,25;6,31;4,67;2,08;-4,94;3,75
1988-09;5,37;1,99;-3,38;0,29;6,20;4,21;2,15;-5,19;3,63
1988-10;5,51;1,93;-3,55;0,26;5,87;3,95;2,34;-4,82;3,63
1988-11;5,34;1,04;-4,34;0,26;5,08;2,69;1,28;-4,37;3,47
1988-12;5,56;1,51;-3,84;0,23;4,79;3,03;1,49;-4,50;3,84
1989-01;6,05;1,75;-3,38;0,22;3,68;2,02;1,45;-3,56;3,88
1989-02;6,31;1,24;-3,19;0,27;3,84;1,80;1,47;-4,06;3,19
1989-03;6,92;1,84;-3,94;0,27;3,35;1,26;1,49;-4,38;2,88
1989-04;6,98;2,58;-3,56;0,29;4,01;1,28;1,78;-3,25;2,88
1989-05;8,25;2,83;-2,69;0,38;3,74;1,30;2,01;-1,38;4,06
1989-06;8,44;2,86;-2,44;0,39;4,02;1,13;2,46;-1,88;4,56
1989-07;9,31;3,66;-1,75;0,48;4,64;2,82;3,35;-1,56;5,25
1989-08;8,63;3,33;-1,88;0,41;4,55;2,09;2,95;-1,50;5,00
1989-09;8,81;3,16;-1,44;0,45;4,81;2,23;2,88;-1,38;5,66
1989-10;9,14;3,57;-0,63;0,47;5,00;2,68;3,30;-0,88;6,50
1989-11;9,05;3,53;-0,63;0,43;5,45;3,49;3,34;-1,00;6,38
1989-12;8,88;3,90;-0,14;0,38;5,37;3,74;4,04;0,88;6,63
1990-01;8,44;4,44;-0,31;0,46;5,56;3,37;4,45;1,31;6,75
1990-02;7,59;5,16;-0,22;0,37;5,45;3,06;6,82;0,81;6,69
1990-03;6,88;5,08;-0,50;0,33;5,23;3,87;6,28;0,56;6,63
1990-04;6,25;4,93;-0,44;0,34;5,11;3,70;4,96;0,88;6,63
1990-05;6,33;5,42;-0,31;0,32;5,55;2,98;4,33;0,50;6,81
1990-06;6,56;5,06;-0,19;0,29;5,49;2,81;4,03;0,75;6,69
1990-07;6,84;5,13;0,19;0,29;5,81;3,23;4,40;0,97;7,06
1990-08;5,80;4,56;0,20;0,26;6,58;2,36;4,69;0,31;6,94
1990-09;5,36;3,95;0,11;0,24;6,16;3,06;4,52;-0,33;6,73
1990-10;4,88;4,25;0,44;0,31;6,34;3,10;8,51;0,19;6,06
1990-11;3,75;3,42;0,69;0,45;4,69;2,94;7,32;0,36;5,44
1990-12;4,20;3,59;1,44;0,52;4,45;3,79;6,88;1,13;6,75
1991-01;4,94;4,06;2,00;0,57;5,18;4,24;6,52;1,19;7,19
1991-02;4,63;2,69;2,13;0,65;5,14;4,22;5,35;1,31;6,31
1991-03;5,34;3,38;2,81;0,71;5,57;4,42;6,12;2,44;6,56
1991-04;5,25;3,06;2,94;0,69;4,42;4,09;6,39;2,56;5,94
1991-05;4,44;2,84;3,00;0,60;4,16;4,06;5,41;2,06;5,63
1991-06;4,30;2,50;2,94;0,52;4,05;5,00;4,57;1,88;5,52
1991-07;4,19;2,69;3,13;0,53;3,75;4,39;4,65;1,89;5,25
1991-08;4,66;2,77;3,46;0,53;3,62;4,59;4,81;2,45;5,38
1991-09;3,92;2,94;3,75;0,45;2,28;5,43;4,96;2,75;5,31
1991-10;3,38;2,81;4,13;0,48;3,12;5,34;5,78;2,92;5,44
1991-11;3,17;2,19;4,31;0,51;3,05;4,99;6,91;3,00;5,56
1991-12;3,34;2,66;5,31;0,56;3,09;6,39;9,69;3,81;6,63
1992-01;3,44;2,92;5,48;0,62;3,18;6,74;8,29;3,31;6,60
1992-02;3,25;2,88;5,40;0,57;3,15;6,14;7,85;3,50;6,37
1992-03;3,20;2,77;5,50;0,50;2,85;5,92;7,26;4,81;6,31
1992-04;2,81;2,66;5,91;0,45;2,89;6,53;8,16;5,06;6,81
1992-05;2,44;2,00;5,75;0,43;2,88;6,60;7,70;5,63;6,13
1992-06;2,44;1,56;5,85;0,45;2,69;6,32;7,79;5,31;6,25
1992-07;2,25;2,00;6,44;0,37;2,84;7,02;8,99;5,22;6,88
1992-08;2,39;1,27;6,39;0,44;2,76;9,14;12,57;4,28;6,69
1992-09;2,69;5,41;5,95;0,45;3,32;19,38;26,81;3,78;6,06
1992-10;2,61;4,00;5,88;0,38;2,96;7,76;9,35;3,13;5,00
1992-11;1,59;4,06;4,91;0,36;1,88;20,64;9,49;2,81;3,25
1992-12;2,42;3,44;5,55;0,39;4,94;11,50;8,04;2,83;3,67
1993-01;2,61;3,28;5,56;0,37;4,74;7,12;7,63;2,31;3,48
1993-02;2,41;2,56;5,50;0,35;4,42;6,21;6,76;2,44;3,23
1993-03;2,06;1,63;5,13;0,38;3,81;5,93;7,16;2,23;2,81
1993-04;2,03;1,70;4,75;0,37;3,67;4,49;6,28;2,14;3,00
1993-05;1,94;1,50;4,69;0,43;3,13;4,42;5,60;1,94;2,59
1993-06;2,00;1,22;4,63;0,45;2,86;3,30;5,76;1,97;2,88
1993-07;1,67;0,81;3,84;0,47;2,09;3,06;5,41;1,56;2,81
1993-08;1,56;1,44;3,75;0,51;2,12;3,30;4,97;1,81;2,84
1993-09;1,56;1,30;3,75;0,49;2,13;3,71;4,91;1,56;2,94
1993-10;1,48;1,25;3,44;0,45;1,86;2,55;4,66;1,44;2,77
1993-11;1,19;0,41;2,96;0,44;2,40;2,04;4,24;1,19;1,88
1993-12;1,45;0,50;2,97;0,42;1,56;3,18;4,60;1,06;2,25
1994-01;1,63;0,56;3,00;0,43;1,33;2,00;4,57;1,19;2,38
1994-02;1,19;0,19;2,59;0,46;1,44;1,44;3,84;0,69;1,63
1994-03;1,19;1,48;2,09;0,39;3,60;1,99;3,71;0,56;1,50
1994-04;0,83;1,73;1,50;0,37;2,44;1,29;3,49;-0,05;1,06
1994-05;0,38;1,50;0,81;0,36;0,91;0,93;2,74;-0,08;0,69
1994-06;0,53;1,39;0,44;0,33;2,33;0,58;2,44;-0,31;0,50
1994-07;0,50;1,00;0,50;0,34;2,06;0,67;2,63;-0,19;0,81
1994-08;0,75;0,44;0,06;0,32;1,51;0,42;2,53;-0,69;0,19
1994-09;0,63;-0,12;-0,12;0,33;1,95;1,12;2,40;-1,12;0,38
1994-10;1,63;0,00;-0,13;0,29;2,75;0,70;2,54;-1,31;0,50
1994-11;1,00;-0,56;-0,75;0,28;2,58;0,47;1,59;-2,19;-0,38
1994-12;1,63;0,06;-0,81;0,21;2,85;-0,29;1,75;-2,02;0,06
1995-01;1,78;1,98;-1,09;0,23;2,75;-0,63;1,66;-2,28;0,34
1995-02;1,59;1,56;-1,06;0,28;3,19;-1,11;1,88;-2,50;0,38
1995-03;1,50;2,00;-1,44;0,29;2,99;-0,98;2,43;-2,63;0,30
1995-04;1,63;1,80;-1,50;0,33;2,94;-0,50;2,53;-2,63;0,50
1995-05;1,44;1,44;-1,56;0,34;3,04;-0,07;2,59;-2,81;0,31
1995-06;1,44;0,86;-1,50;0,35;2,88;-0,58;2,88;-3,00;0,56
1995-07;1,63;0,81;-1,31;0,44;3,06;-0,44;3,13;-3,25;1,00
1995-08;1,63;0,44;-1,56;0,37;3,79;-0,66;3,18;-3,00;0,88
1995-09;1,56;0,38;-1,75;0,38;3,40;-0,51;3,13;-3,41;0,94
1995-10;1,71;0,61;-1,71;0,42;2,43;-0,55;3,03;-3,83;0,94
1995-11;1,55;-0,10;-1,91;0,44;2,49;-0,27;2,92;-3,66;0,80
1995-12;1,72;-0,06;-1,81;0,46;3,08;-0,18;3,15;-3,88;0,88
1996-01;2,05;-0,19;-2,00;0,57;3,09;0,19;2,91;-3,67;0,94
1996-02;2,19;-0,06;-1,94;0,46;3,72;-0,20;2,58;-3,73;1,00
1996-03;2,13;-0,44;-2,06;0,52;3,66;-0,67;1,71;-3,67;0,63
1996-04;2,13;-0,69;-2,13;0,48;4,24;-0,64;1,35;-3,56;0,63
1996-05;2,13;-0,69;-2,06;0,46;4,39;-0,63;0,95;-2,73;0,66
1996-06;2,07;-0,75;-2,12;0,42;4,61;-0,59;0,52;-3,00;0,34
1996-07;1,60;-0,90;-2,11;0,49;4,67;-0,60;0,04;-2,96;0,35
1996-08;1,50;-1,38;-2,28;0,48;4,57;-0,41;-0,21;-3,32;0,38
1996-09;1,39;-1,45;-2,34;0,46;4,57;-0,58;-0,44;-4,04;0,48
1996-10;1,50;-2,06;-2,25;0,52;4,11;-0,62;-0,72;-3,70;0,80
1996-11;1,02;-2,56;-2,25;0,49;3,83;-1,32;-1,12;-3,44;0,56
1996-12;0,56;-2,45;-2,38;0,47;2,42;-1,64;-1,30;-3,69;0,75
1997-01;0,45;-2,38;-2,31;0,52;2,01;-1,91;-1,18;-3,73;0,79
1997-02;0,59;-2,37;-2,17;0,45;2,18;-1,98;-1,24;-3,69;0,69
1997-03;0,50;-2,50;-2,44;0,44;1,93;-2,31;-1,42;-3,81;0,46
1997-04;0,38;-2,50;-2,50;0,51;1,13;-2,28;-1,46;-3,95;0,59
1997-05;-0,17;-2,56;-2,53;0,50;1,43;-2,30;-1,39;-4,70;0,75
1997-06;-0,63;-2,69;-2,97;0,50;0,73;-2,51;-1,76;-4,69;0,63
1997-07;-0,56;-2,13;-2,47;0,48;2,67;-1,80;-1,28;-4,11;1,31
1997-08;-0,72;-2,22;-2,44;0,43;2,52;-1,91;-1,31;-4,40;1,56
1997-09;-0,80;-2,16;-2,44;0,39;2,20;-2,02;-1,31;-4,27;1,53
1997-10;-0,71;-1,84;-2,15;0,36;2,40;-1,96;-1,25;-3,90;1,61
1997-11;-0,97;-1,91;-2,21;0,32;1,18;-2,36;-1,52;-4,09;1,56
1997-12;-0,78;-1,22;-2,19;0,34;3,08;-2,06;-1,03;-4,47;1,82
1998-01;-0,54;-1,04;-2,12;0,34;3,43;-1,88;-0,97;-4,54;1,90
1998-02;-0,56;-0,88;-2,19;0,37;3,33;-1,74;-1,10;-4,81;1,82
1998-03;-0,63;-0,94;-2,15;0,42;4,12;-1,71;-1,14;-4,25;1,88
1998-04;-0,66;-0,75;-2,06;0,40;3,30;-1,63;-1,10;-4,18;1,79
1998-05;-0,59;-0,78;-2,16;0,38;2,78;-0,99;-1,10;-3,97;1,80
1998-06;-0,43;-0,79;-2,16;0,48;2,84;-0,81;-1,41;-3,50;1,96
1998-07;-0,54;-0,65;-2,19;0,56;1,46;-0,27;-1,40;-3,81;1,97
1998-08;0,17;0,54;-2,18;0,39;0,48;2,73;-1,26;-4,07;1,91
1998-09;-0,44;0,10;-1,88;0,45;-0,33;2,75;-1,13;-4,00;2,07
1998-10;-0,41;0,01;-1,74;0,40;-0,76;2,92;-1,17;-4,24;2,14
1998-11;-0,69;-0,50;-1,88;0,46;-1,83;2,83;-1,93;-3,81;1,31
1998-12;-0,28;-0,05;-1,81;0,44;-0,37;3,65;-1,51;-3,81;1,28
1999-01;-0,16;0,10;-1,82;0,43;-1,30;2,91;-1,54;-3,74;1,07
