Date;VIX
1986-06;18,31
1986-07;19,57
1986-08;18,53
1986-09;24,76
1986-10;19,23
1986-11;18,99
1986-12;18,71
1987-01;24,71
1987-02;22,77
1987-03;23,03
1987-04;28,45
1987-05;22,52
1987-06;21,33
1987-07;16,45
1987-08;22,33
1987-09;22,38
1987-10;61,41
1987-11;46,13
1987-12;39,45
1988-01;35,55
1988-02;29,83
1988-03;26,94
1988-04;27,04
1988-05;23,34
1988-06;24,69
1988-07;22,84
1988-08;21,42
1988-09;18,74
1988-10;22,68
1988-11;18,18
1988-12;18,53
1989-01;18,14
1989-02;17,90
1989-03;17,08
1989-04;16,95
1989-05;17,49
1989-06;18,16
1989-07;18,08
1989-08;18,33
1989-09;15,99
1989-10;23,20
1989-11;19,21
1989-12;17,39
1990-01;25,99
1990-02;20,81
1990-03;20,73
1990-04;19,59
1990-05;18,37
1990-06;18,77
1990-07;19,35
1990-08;28,57
1990-09;29,99
1990-10;30,61
1990-11;22,45
1990-12;23,55
1991-01;20,33
1991-02;20,35
1991-03;19,23
1991-04;19,35
1991-05;17,42
1991-06;19,53
1991-07;15,80
1991-08;15,22
1991-09;16,09
1991-10;16,07
1991-11;20,57
1991-12;20,17
1992-01;17,91
1992-02;15,98
1992-03;15,91
1992-04;15,03
1992-05;14,24
1992-06;13,49
1992-07;13,36
1992-08;13,84
1992-09;15,17
1992-10;16,43
1992-11;13,51
1992-12;13,55
1993-01;12,29
1993-02;12,75
1993-03;13,57
1993-04;13,42
1993-05;13,21
1993-06;12,15
1993-07;12,01
1993-08;11,62
1993-09;12,71
1993-10;11,51
1993-11;12,87
1993-12;11,46
1994-01;9,82
1994-02;13,75
1994-03;19,15
1994-04;13,32
1994-05;12,10
1994-06;15,82
1994-07;10,64
1994-08;12,32
1994-09;14,29
1994-10;13,73
1994-11;16,56
1994-12;13,44
1995-01;11,41
1995-02;11,48
1995-03;13,58
1995-04;12,00
1995-05;14,56
1995-06;12,88
1995-07;14,30
1995-08;11,99
1995-09;12,99
1995-10;14,42
1995-11;12,05
1995-12;13,89
1996-01;13,29
1996-02;18,35
1996-03;20,29
1996-04;16,84
1996-05;17,34
1996-06;15,20
1996-07;20,19
1996-08;17,64
1996-09;17,87
1996-10;19,93
1996-11;18,69
1996-12;21,67
1997-01;20,82
1997-02;23,46
1997-03;24,99
1997-04;21,19
1997-05;22,12
1997-06;23,34
1997-07;23,75
1997-08;27,94
1997-09;24,30
1997-10;34,46
1997-11;27,51
1997-12;24,89
1998-01;21,70
1998-02;19,43
1998-03;24,25
1998-04;21,59
1998-05;22,89
1998-06;19,86
1998-07;26,27
1998-08;48,33
1998-09;41,94
1998-10;26,56
1998-11;25,00
1998-12;25,41
1999-01;26,53
1999-02;29,52
1999-03;24,45
1999-04;26,07
1999-05;26,38
1999-06;21,01
1999-07;25,83
1999-08;25,24
1999-09;26,89
1999-10;22,56
1999-11;24,95
1999-12;26,71
2000-01;24,29
2000-02;25,59
2000-03;27,21
2000-04;28,86
2000-05;26,57
2000-06;22,26
2000-07;23,44
2000-08;19,28
2000-09;23,85
2000-10;25,99
2000-11;32,92
2000-12;30,23
2001-01;24,29
2001-02;31,00
2001-03;33,82
2001-04;28,19
2001-05;25,96
2001-06;21,63
2001-07;23,87
2001-08;27,85
2001-09;35,19
2001-10;35,28
2001-11;26,14
2001-12;23,22
2002-01;22,84
2002-02;23,13
2002-03;19,32
2002-04;23,51
2002-05;22,80
2002-06;29,13
2002-07;35,21
2002-08;35,80
2002-09;44,57
2002-10;35,91
2002-11;31,08
2002-12;32,03
2003-01;35,78
2003-02;34,15
2003-03;33,37
2003-04;23,77
2003-05;21,70
2003-06;21,62
2003-07;21,24
2003-08;19,49
2003-09;23,77
2003-10;17,15
2003-11;16,71
2003-12;17,51
2004-01;17,05
2004-02;14,76
2004-03;16,73
2004-04;17,56
2004-05;15,82
2004-06;13,99
2004-07;15,40
2004-08;14,98
2004-09;13,44
2004-10;16,57
2004-11;13,54
2004-12;13,58
2005-01;12,37
2005-02;11,86
2005-03;13,62
2005-04;15,18
2005-05;12,50
2005-06;11,35
2005-07;11,07
2005-08;11,78
2005-09;11,69
2005-10;13,65
2005-11;11,78
2005-12;11,77
2006-01;12,19
2006-02;11,84
2006-03;11,12
2006-04;10,79
2006-05;15,59
2006-06;12,44
2006-07;13,77
2006-08;11,31
2006-09;11,35
2006-10;10,41
2006-11;10,36
2006-12;11,25
2007-01;10,14
2007-02;15,93
2007-03;14,41
2007-04;13,34
2007-05;12,76
2007-06;16,69
2007-07;25,18
2007-08;23,58
2007-09;18,18
2007-10;18,34
2007-11;24,81
2007-12;23,19
2008-01;28,33
2008-02;28,59
2008-03;26,49
2008-04;21,16
2008-05;18,57
2008-06;24,59
2008-07;24,67
2008-08;22,59
2008-09;44,51
2008-10;61,38
2008-11;59,81
2008-12;40,40
2009-01;45,85
2009-02;49,08
2009-03;44,40
2009-04;37,22
2009-05;29,62
2009-06;24,79
2009-07;25,59
2009-08;23,81
2009-09;24,58
2009-10;28,89
2009-11;22,35
2009-12;19,87
2010-01;24,46
2010-02;19,16
2010-03;16,04
2010-04;20,98
2010-05;30,83
2010-06;33,57
2010-07;23,03
2010-08;26,58
2010-09;22,40
2010-10;21,33
2010-11;23,22
2010-12;17,29
2011-01;17,00
2011-02;16,54
2011-03;16,45
2011-04;14,06
2011-05;14,54
2011-06;15,28
2011-07;25,94
2011-08;31,42
2011-09;44,11
2011-10;28,31
2011-11;27,24
2011-12;22,98
2012-01;18,30
2012-02;16,11
2012-03;14,66
2012-04;16,05
2012-05;23,06
2012-06;16,54
2012-07;18,19
2012-08;16,32
2012-09;14,57
2012-10;18,60
2012-11;16,15
2012-12;18,53
2013-01;13,99
2013-02;14,76
2013-03;12,04
2013-04;12,54
2013-05;15,82
2013-06;17,24
2013-07;13,28
2013-08;17,62
2013-09;15,97
2013-10;12,54
2013-11;12,71
2013-12;12,25
2014-01;17,44
2014-02;12,93
2014-03;12,55
2014-04;12,33
2014-05;10,56
2014-06;9,54
2014-07;16,09
2014-08;10,87
2014-09;14,77
2014-10;13,73
2014-11;12,71
2014-12;16,27
2015-01;20,97
2015-02;13,28
2015-03;16,05
2015-04;15,17
2015-05;14,46
2015-06;18,23
2015-07;12,40
2015-08;26,48
2015-09;25,12
2015-10;15,55
2015-11;16,60
2015-12;18,17
2016-01;21,10
2016-02;22,16
2016-03;13,80
2016-04;16,04
2016-05;13,28
2016-06;14,77
2016-07;11,52
2016-08;12,15
2016-09;13,30
2016-10;18,25
2016-11;13,32
2016-12;13,43
